symboling,normalized-losses,make,fuel-type,aspiration
3,?,alfa-romero,gas,std
3,?,alfa-romero,gas,std
1,?,alfa-romero,gas,std
2,164,audi,gas,std
2,164,audi,gas,std
2,?,audi,gas,std
1,158,audi,gas,std
1,?,audi,gas,std
1,158,audi,gas,turbo
0,0,0,0,0
2,192,bmw,gas,std
0,192,bmw,gas,std
0,188,bmw,gas,std
0,188,bmw,gas,std
1,?,bmw,gas,std
0,?,bmw,gas,std
0,?,bmw,gas,std
0,?,bmw,gas,std
2,121,chevrolet,gas,std
1,98,chevrolet,gas,std
0,81,chevrolet,gas,std
1,118,dodge,gas,std
1,118,dodge,gas,std
1,118,dodge,gas,turbo
1,148,dodge,gas,std
1,148,dodge,gas,std
1,148,dodge,gas,std
1,148,dodge,gas,turbo
-1,110,dodge,gas,std
3,145,dodge,gas,turbo
2,137,honda,gas,std
2,137,honda,gas,std
1,101,honda,gas,std
1,101,honda,gas,std
1,101,honda,gas,std
0,110,honda,gas,std
0,78,honda,gas,std
0,106,honda,gas,std
0,106,honda,gas,std
0,85,honda,gas,std
0,85,honda,gas,std
0,85,honda,gas,std
1,107,honda,gas,std
0,?,isuzu,gas,std
0,0,0,0,0
0,0,0,0,0
2,?,isuzu,gas,std
0,145,jaguar,gas,std
0,?,jaguar,gas,std
0,?,jaguar,gas,std
1,104,mazda,gas,std
1,104,mazda,gas,std
1,104,mazda,gas,std
1,113,mazda,gas,std
1,113,mazda,gas,std
3,150,mazda,gas,std
3,150,mazda,gas,std
3,150,mazda,gas,std
3,150,mazda,gas,std
1,129,mazda,gas,std
0,115,mazda,gas,std
1,129,mazda,gas,std
0,115,mazda,gas,std
0,?,mazda,diesel,std
0,115,mazda,gas,std
0,118,mazda,gas,std
0,?,mazda,diesel,std
-1,93,mercedes-benz,diesel,turbo
-1,93,mercedes-benz,diesel,turbo
0,93,mercedes-benz,diesel,turbo
-1,93,mercedes-benz,diesel,turbo
-1,?,mercedes-benz,gas,std
3,142,mercedes-benz,gas,std
0,?,mercedes-benz,gas,std
1,?,mercedes-benz,gas,std
1,?,mercury,gas,turbo
2,161,mitsubishi,gas,std
2,161,mitsubishi,gas,std
2,161,mitsubishi,gas,std
1,161,mitsubishi,gas,turbo
3,153,mitsubishi,gas,turbo
3,153,mitsubishi,gas,std
3,?,mitsubishi,gas,turbo
3,?,mitsubishi,gas,turbo
3,?,mitsubishi,gas,turbo
1,125,mitsubishi,gas,std
1,125,mitsubishi,gas,std
1,125,mitsubishi,gas,turbo
-1,137,mitsubishi,gas,std
1,128,nissan,gas,std
1,128,nissan,diesel,std
1,128,nissan,gas,std
1,122,nissan,gas,std
1,103,nissan,gas,std
1,128,nissan,gas,std
1,128,nissan,gas,std
1,122,nissan,gas,std
1,103,nissan,gas,std
2,168,nissan,gas,std
0,106,nissan,gas,std
0,106,nissan,gas,std
0,128,nissan,gas,std
0,108,nissan,gas,std
0,108,nissan,gas,std
3,194,nissan,gas,std
3,194,nissan,gas,turbo
1,231,nissan,gas,std
0,161,peugot,gas,std
0,161,peugot,diesel,turbo
0,?,peugot,gas,std
0,?,peugot,diesel,turbo
0,161,peugot,gas,std
0,161,peugot,diesel,turbo
0,?,peugot,gas,std
0,?,peugot,diesel,turbo
0,161,peugot,gas,std
0,161,peugot,diesel,turbo
0,161,peugot,gas,turbo
1,119,plymouth,gas,std
1,119,plymouth,gas,turbo
1,154,plymouth,gas,std
1,154,plymouth,gas,std
1,154,plymouth,gas,std
-1,74,plymouth,gas,std
3,?,plymouth,gas,turbo
3,186,porsche,gas,std
3,?,porsche,gas,std
3,?,porsche,gas,std
3,?,porsche,gas,std
0,0,0,0,0
0,?,renault,gas,std
2,?,renault,gas,std
3,150,saab,gas,std
2,104,saab,gas,std
3,150,saab,gas,std
2,104,saab,gas,std
3,150,saab,gas,turbo
2,104,saab,gas,turbo
2,83,subaru,gas,std
2,83,subaru,gas,std
2,83,subaru,gas,std
0,102,subaru,gas,std
0,102,subaru,gas,std
0,102,subaru,gas,std
0,102,subaru,gas,std
0,102,subaru,gas,turbo
0,89,subaru,gas,std
0,89,subaru,gas,std
0,85,subaru,gas,std
0,85,subaru,gas,turbo
1,87,toyota,gas,std
1,87,toyota,gas,std
1,74,toyota,gas,std
0,77,toyota,gas,std
0,81,toyota,gas,std
0,91,toyota,gas,std
0,91,toyota,gas,std
0,91,toyota,gas,std
0,91,toyota,diesel,std
0,91,toyota,diesel,std
0,91,toyota,gas,std
0,91,toyota,gas,std
0,91,toyota,gas,std
1,168,toyota,gas,std
1,168,toyota,gas,std
1,168,toyota,gas,std
1,168,toyota,gas,std
2,134,toyota,gas,std
2,134,toyota,gas,std
2,134,toyota,gas,std
2,134,toyota,gas,std
2,134,toyota,gas,std
2,134,toyota,gas,std
-1,65,toyota,gas,std
-1,65,toyota,diesel,turbo
-1,65,toyota,gas,std
-1,65,toyota,gas,std
-1,65,toyota,gas,std
3,197,toyota,gas,std
3,197,toyota,gas,std
-1,90,toyota,gas,std
-1,?,toyota,gas,std
2,122,volkswagen,diesel,std
2,122,volkswagen,gas,std
2,94,volkswagen,diesel,std
2,94,volkswagen,gas,std
2,94,volkswagen,gas,std
2,94,volkswagen,diesel,turbo
2,94,volkswagen,gas,std
3,?,volkswagen,gas,std
3,256,volkswagen,gas,std
0,?,volkswagen,gas,std
0,?,volkswagen,diesel,turbo
0,?,volkswagen,gas,std
-2,103,volvo,gas,std
-1,74,volvo,gas,std
-2,103,volvo,gas,std
-1,74,volvo,gas,std
-2,103,volvo,gas,turbo
-1,74,volvo,gas,turbo
-1,95,volvo,gas,std
-1,95,volvo,gas,turbo
-1,95,volvo,gas,std
-1,95,volvo,diesel,turbo
-1,95,volvo,gas,turbo
